id,source_id,topic,region,fact_text,metric_value,metric_unit,metric_year
20,4,definition,Global,"Mixed-farming systems are livestock systems where more than 10% of dry matter feed comes from crop by-products or stubble, or more than 10% of total production value comes from non-livestock activities.",,,
21,4,classification,Global,Rain-fed mixed-farming systems (MR) are mixed systems where more than 90% of non-livestock production value comes from rain-fed land use.,90,percent threshold (more than),
22,4,classification,Global,Irrigated mixed-farming systems (MI) are mixed systems where more than 10% of non-livestock production value comes from irrigated land use.,10,percent threshold (more than),
23,4,classification,Global,"Landless monogastric systems rely on monogastric species (mainly chickens and pigs) fed from outside the farm, separating feed-use decisions from feed production and making nutrient flows open.",,,
24,4,statistic,Global,Mixed-farming systems contribute the largest share of total meat production globally (53.9%).,53.9,percent,
25,4,statistic,Global,More than 90% of global milk production is generated in mixed-farming systems.,90,percent (more than),
26,4,statistic,Global,Developed countries and Asia together contribute about 70% of total meat production from mixed-farming systems.,70,percent (about),
27,5,definition,Global,Mixed farming systems exist where crop and livestock production occur in the same locality and ownership of crops/land and livestock is integrated.,,,
28,5,definition,Global,"Specialized livestock in the same locality may still be included as mixed systems if resource-sharing occurs, even with separate ownership.",,,
29,5,practice,Global,Some mixed farming systems use farm trees for fodder.,,,
30,5,statistic,Sub-Saharan Africa (SAZ),"In the semi-arid zone (SAZ), no smallholder farming systems were found lacking a livestock component.",,,
31,5,benefit,Sub-Saharan Africa (SAZ),"Livestock provide investment capital and wealth creation for households, including for women.",,,
32,5,benefit,Sub-Saharan Africa (SAZ),"Livestock provide recurrent income, manure for nutrient recycling, energy for traction/transport, and productive uses for farm residues.",,,
33,5,benefit,Sub-Saharan Africa (SAZ),"Livestock offer a least-cost route to intensification through nutrient cycling, especially when inorganic fertilizers are costly.",,,
34,5,benefit,Sub-Saharan Africa (SAZ),"Mixed farming can provide more productive use of scarce land, more defensible access to resources, a diversified and resilient household economy, and investment funds to rebuild livestock holdings.",,,
35,6,definition,Global,"Mixed-farming systems involve crops, livestock and/or trees; livestock systems qualify when more than 10% of animal feed dry matter comes from crop by-products/stubble or more than 10% of total production value comes from non-livestock activities.",,,
36,7,statistic,Global,Mixed crop-livestock systems provide livelihoods for about one billion people.,1,billion people (about),
37,7,statistic,Global,Mixed crop-livestock systems produce about half of the world's cereal.,50,percent (about),
38,7,statistic,Global,Mixed crop-livestock systems produce around a third of the world's beef.,33,percent (around),
39,7,statistic,Global,Mixed crop-livestock systems produce around a third of the world's milk.,33,percent (around),
40,7,driver,Africa,"Market orientation and strong, growing demand for food provide incentives for sustainable intensification of crop and livestock enterprises in smallholder mixed systems in Africa.",,,
41,7,benefit,Africa,"Better exploitation of the mutually reinforcing nature of crop and livestock systems can support positive, inclusive growth that is ecologically and economically sustainable.",,,
42,7,challenge,Africa,"Livestock intensification is often neglected relative to crops, even though livestock can raise the productivity of the entire farming system.",,,
43,7,benefit,Africa,Intensifying crop production can benefit livestock and improve natural resource management via increased biomass availability.,,,
44,7,benefit,Africa,Improved efficiency of livestock production means fewer greenhouse gases per unit of milk and more milk per unit of water.,,,
45,7,policy,Africa,"Greater investment in research for development is needed to identify win-win outcomes and enabling policies, technologies, and institutions for sustainable mixed crop-livestock systems.",,,
46,8,statistic,EU,Share of crop farms among EU farms was 43% in 2005.,43,percent,2005
47,8,statistic,EU,Share of crop farms among EU farms was 58% in 2020.,58,percent,2020
48,8,statistic,EU,Share of mixed cropping farms was 30% in 2005.,30,percent,2005
49,8,statistic,EU,Share of mixed cropping farms was 19% in 2020.,19,percent,2020
50,8,statistic,EU,Share of livestock-specialized farms was 24% in 2005.,24,percent,2005
51,8,statistic,EU,Share of livestock-specialized farms was 22% in 2020.,22,percent,2020
52,9,statistic,Central Europe (EU accession countries),"The Mixed Farming System in Central Europe covers an estimated 85 million hectares, mainly in the moist subhumid agro-ecological zone.",85,million ha,
53,9,statistic,Central Europe (EU accession countries),Rural populations are estimated at about 25-35% of total population and are declining.,,,
54,9,statistic,Central Europe (EU accession countries),Agricultural population in the system is about 16 million.,16,million people,
55,9,statistic,Central Europe (EU accession countries),"Most of the 35 million ha of crop area is dedicated to wheat, maize, oil crops and barley, with smaller areas of fruit and vegetables.",35,million ha,
56,9,statistic,Central Europe (EU accession countries),There are an estimated 14 million head of cattle within the system.,14,million head,
57,9,statistic,Central Europe (EU accession countries),Total population of the farming system is about 99 million.,99,million people,
58,9,statistic,Central Europe (EU accession countries),Rural population within the system is about 36 million.,36,million people,
59,10,statistic,East Asia and Pacific,Tree Crop Mixed Farming System total area is 85 million ha.,85,million ha,
60,10,statistic,East Asia and Pacific,Tree Crop Mixed Farming System agricultural population is 30 million.,30,million people,
61,10,statistic,East Asia and Pacific,Tree Crop Mixed Farming System cultivated area is estimated at 18 million ha.,18,million ha,
62,10,statistic,East Asia and Pacific,Tree Crop Mixed Farming System irrigated area is little more than 12 percent.,12,percent (little more than),
63,10,practice,East Asia and Pacific,"Tree Crop Mixed systems include rubber, oil palm, coconut, coffee, tea and cocoa, with associated crops such as pepper and spices.",,,
64,10,poverty,East Asia and Pacific,"Poverty in the Tree Crop Mixed Farming System is extensive, varying from moderate to very severe.",,,
65,10,statistic,East Asia and Pacific,Upland Intensive Mixed Farming System total area is 314 million ha.,314,million ha,
66,10,statistic,East Asia and Pacific,Upland Intensive Mixed Farming System agricultural population is 310 million.,310,million people,
67,10,statistic,East Asia and Pacific,Upland Intensive Mixed Farming System cultivated area is 75 million ha.,75,million ha,
68,10,statistic,East Asia and Pacific,Upland Intensive Mixed Farming System irrigated area is just under one quarter of cultivated area.,,,
69,10,statistic,East Asia and Pacific,Upland Intensive Mixed Farming System supports about 52 million large ruminants.,52,million head,
70,10,statistic,East Asia and Pacific,Upland Intensive Mixed Farming System supports about 49 million small ruminants.,49,million head,
71,10,poverty,East Asia and Pacific,Poverty in the Upland Intensive Mixed Farming System is moderate to severe.,,,
72,10,statistic,East Asia and Pacific,Highland Extensive Mixed Farming System total area is 89 million ha.,89,million ha,
73,10,statistic,East Asia and Pacific,Highland Extensive Mixed Farming System agricultural population is 47 million.,47,million people,
74,10,statistic,East Asia and Pacific,Highland Extensive Mixed Farming System cultivated area is 8 million ha.,8,million ha,
75,10,statistic,East Asia and Pacific,Highland Extensive Mixed Farming System irrigated area is about one fifth of cultivated area.,,,
76,10,statistic,East Asia and Pacific,Highland Extensive Mixed Farming System provides grazing for about 16 million large ruminants.,16,million head,
77,10,poverty,East Asia and Pacific,Poverty in the Highland Extensive Mixed Farming System is moderate to severe.,,,
78,10,statistic,East Asia and Pacific,Temperate Mixed Farming System total area is 99 million ha.,99,million ha,
79,10,statistic,East Asia and Pacific,Temperate Mixed Farming System agricultural population is 162 million.,162,million people,
80,10,statistic,East Asia and Pacific,Temperate Mixed Farming System cultivated area is 31 million ha.,31,million ha,
81,10,statistic,East Asia and Pacific,Temperate Mixed Farming System irrigated area is about one-third of cultivated area.,,,
82,10,practice,East Asia and Pacific,"Major crops in the Temperate Mixed Farming System include wheat and maize, with smaller areas of rice, cotton, soybeans, sweet potato and rape; livestock such as cattle, pigs and poultry are important.",,,
83,10,poverty,East Asia and Pacific,Poverty in the Temperate Mixed Farming System is moderate.,,,
84,10,statistic,East Asia and Pacific,Tree Crop Mixed Farming System accounts for 5% of regional land area and 3% of agricultural population.,,,
85,10,statistic,East Asia and Pacific,Upland Intensive Mixed Farming System accounts for 19% of regional land area and 27% of agricultural population.,,,
86,10,statistic,East Asia and Pacific,Highland Extensive Mixed Farming System accounts for 5% of regional land area and 4% of agricultural population.,,,
87,10,statistic,East Asia and Pacific,Temperate Mixed Farming System accounts for 6% of regional land area and 14% of agricultural population.,,,
88,11,integration,South Asia,"In the Rice-Wheat Farming System there is significant crop-livestock integration, with about 119 million bovines and 73 million small ruminants.",,,
89,11,statistic,South Asia,Rice-Wheat Farming System total area is 97 million ha with about 62 million ha cultivated.,,,
90,11,statistic,South Asia,Rice-Wheat Farming System cultivated area is around 78 percent irrigated.,78,percent (around),
91,11,statistic,South Asia,Rice-Wheat Farming System agricultural population is about 254 million.,254,million people,
92,11,statistic,South Asia,Highland Mixed Farming System total area is 65 million ha with about 19 million ha cultivated.,,,
93,11,statistic,South Asia,Highland Mixed Farming System cultivated area is around 14 percent irrigated.,14,percent (around),
94,11,statistic,South Asia,Highland Mixed Farming System agricultural population is nearly 53 million.,53,million people (nearly),
95,11,statistic,South Asia,Highland Mixed Farming System includes about 45 million bovines and 66 million small ruminants.,,,
96,11,poverty,South Asia,Poverty in the Highland Mixed Farming System is between moderate and extensive.,,,
97,11,statistic,South Asia,Rainfed Mixed Farming System total area is 147 million ha with about 87 million ha cultivated.,,,
98,11,statistic,South Asia,Rainfed Mixed Farming System cultivated area is around 16 percent irrigated.,16,percent (around),
99,11,statistic,South Asia,Rainfed Mixed Farming System agricultural population is about 226 million.,226,million people,
100,11,statistic,South Asia,Rainfed Mixed Farming System includes about 126 million bovines and 64 million small ruminants.,,,
101,11,poverty,South Asia,Poverty in the Rainfed Mixed Farming System is extensive and becomes more severe after droughts.,,,
102,11,statistic,South Asia,Highland Mixed Farming System accounts for 12% of regional land area and 7% of agricultural population.,,,
103,11,statistic,South Asia,Rainfed Mixed Farming System accounts for 29% of regional land area and 30% of agricultural population.,,,
